Date-Time,Index,Signal,1m_pct_change,3m_pct_change,6m_pct_change,Return,3m_volatility,6m_volatility
2005-05-31,32.01777777777777,0,0.05018404460803949,-0.008862544570688358,0.04648460197559556,0.05018404460803949,0.1608678881268998,0.14081669720861592
2005-06-30,31.806666666666665,0,-0.006593559133814431,0.0034234971081381627,-0.01777381279165513,-0.006593559133814431,0.15511689933502448,0.11244317443060117
2005-07-31,31.720370370370368,0,-0.002713151214513654,0.040429072973990676,0.0021882094128109486,-0.002713151214513654,0.10988054585027027,0.1073453293308097
2005-08-31,30.453333333333333,1,-0.03994395469671308,-0.0488617434758466,-0.05729124866717872,-0.03994395469671308,0.0709004820541034,0.11438715509903001
2005-09-30,30.585555555555555,0,0.004341798015178089,-0.038391671906658265,-0.03509960857626915,0.004341798015178089,0.08242733684673359,0.11448509193595906
2005-10-31,29.43444444444444,1,-0.03763577578377597,-0.07206491914297397,-0.034549364043879205,-0.03763577578377597,0.08635591798133493,0.11411112658540438
2005-11-30,30.42259259259259,0,0.03357114995029753,-0.0010094376337809186,-0.049821858226910876,0.03357114995029753,0.12399111249675557,0.09561104746638002
2005-12-31,30.347407407407406,1,-0.002471360222057184,-0.007786294668265081,-0.04587903770465074,-0.002471360222057184,0.12333713904432342,0.09595048936597796
2006-01-31,33.22074074074074,1,0.09468134443115517,0.128634882287066,0.04729990075310875,0.09468134443115517,0.17013034080049816,0.17436773361085142
2006-02-28,34.10629629629629,1,0.02665670709953627,0.12108447669251654,0.11995281183109552,0.02665670709953627,0.1727104143439176,0.1539690322731015
2006-03-31,35.24111111111111,1,0.03327288325170774,0.16125607166394107,0.1522141897046536,0.03327288325170774,0.12993940261062095,0.1524002996243662
2006-04-30,36.41148148148148,0,0.03321037088417356,0.09604664645023209,0.23703647779749115,0.03321037088417356,0.01317028501397809,0.10987854283361445
2006-05-31,36.09888888888889,1,-0.008585000661167186,0.058423013020296066,0.1865816096711752,-0.008585000661167186,0.08365332552950747,0.12734821004930072
2006-06-30,36.34814814814815,0,0.00690490114602893,0.031413227396454024,0.19773487270863344,0.00690490114602893,0.07319518944239553,0.12229576250154706
2006-07-31,34.87851851851852,1,-0.040432035867128624,-0.04210108736560503,0.049901890831252294,-0.040432035867128624,0.08360569735602905,0.10090886715688928
2006-08-31,35.12111111111111,1,0.006955358280593016,-0.02708609067684442,0.029754471315169395,0.006955358280593016,0.09472437147663305,0.09613692605376406
2006-09-30,36.52851851851852,1,0.0400729749965727,0.004962298756877814,0.03653140797259091,0.0400729749965727,0.14016703203836994,0.10124432959004004
2006-10-31,37.495925925925924,1,0.026483620104028383,0.07504353735717628,0.029783035469072683,0.026483620104028383,0.057668017361214755,0.09733332987038311
2006-11-30,38.150925925925925,1,0.01746856448601819,0.08626762419985856,0.056844880831461,0.01746856448601819,0.039418299524991866,0.09541109190796083
2006-12-31,38.15259259259259,1,4.368613935867849e-05,0.04446044186683151,0.04964336661911539,4.368613935867849e-05,0.04656109365656658,0.09636069820712556
2007-01-31,38.65185185185185,1,0.013085854075253422,0.03082804057724786,0.10818502314913148,0.013085854075253422,0.031398492970478,0.0496107407554811
2007-02-28,38.76444444444444,1,0.0029129934840934624,0.016081353299516987,0.10373627764244353,0.0029129934840934624,0.02374102616627149,0.051919461027578585
2007-03-31,39.36888888888888,1,0.015592753955514738,0.03187978099638866,0.07775761201293752,0.015592753955514738,0.023261468794099596,0.03384019661704904
2007-04-30,40.97037037037037,1,0.04067885903514723,0.05998466845534689,0.09266191882574892,0.04067885903514723,0.06657851897570621,0.04994297801892763
2007-05-31,42.508148148148145,0,0.037533899837280726,0.09657570893525946,0.11421013033031557,0.037533899837280726,0.04734167971307162,0.059504459948937764
2007-06-30,40.71703703703703,0,-0.04213571254312909,0.03424399789267696,0.06721547004232509,-0.04213571254312909,0.16257546660486283,0.1039076464701826
